id,asassn_name,source,TIC,RA_ICRS,DE_ICRS,period,p2,p2_method_i,group,has_tess,tess_sectors,Gmag,absolute_g,bp_rp,bp_rp_corrected,parallax_over_error,rpgeo,mwdust_av,mwdust_ag,mwdust_abp,mwdust_arp,gaia_filter,state,r1,xray_source,xray_observatory,xray_citation_key,xray_ads_link,xray_exposure,xray_luminosity,xray_separation
19740550,ASASSN-V J073404.84-172018.6,3027086769773339136,259217758,113.52043114687636,-17.33792490838618,2.290735976375676,1.02063325074928,3,extra_eclipses,True,34-7,13.501542,0.00538407349129888,0.9169820000000009,0.26345908904969795,10.442639934115565,2815.34766,1.582379929661751,1.2484977645031214,1.585544689521074,0.9320217785707712,True,ms,34.1,False,,,,,,
12404851,ASASSN-V J210203.83+413206.9,1969506323593523968,314302488,315.5148804348464,41.53526452884902,1.9173530609679923,4.45634862888408,0,extra_eclipses,True,15,13.604187,1.3168119013107233,1.4321610000000007,0.6894582117528121,31.914369105296753,1491.76843,1.7983118359496086,1.4188680385642414,1.801908459621508,1.0592056713743194,True,sg,17.4,False,,,,,,
48477157,ASASSN-V J160011.64-551631.8,5836598635367073536,423100302,240.0461162167825,-55.27395081669575,11.335355075591416,,99,extra_eclipses,True,12-39,13.771834,1.4662337840140809,1.9122690000000002,1.303854895288617,33.36037813596418,1692.99536,1.473157638526351,1.1623213767972909,1.4761039538034038,0.8676898490920206,True,rg,19.0,False,,,,,,
40537394,ASASSN-V J105824.26-611350.7,5337975437890183168,465899856,164.59945971303824,-61.22944357816914,12.994970299485276,2.33067302061764,1,extra_eclipses,True,10-11,12.474276,-7.120966227444978,1.2645029999999995,-1.3154974652296825,9.897987082113987,8575.82422,6.246974492081553,4.928862874252346,6.259468441065716,3.6794679758360345,False,,25.7,False,,,,,,
38696380,ASASSN-V J105907.86-620142.6,5241801705576197248,465971173,164.78164810838996,-62.028065830735706,1.2615046812735653,1.28304710019119,1,extra_eclipses,True,10-11-37,12.65904,,0.3256040000000002,,,,,,,,False,,10.4,False,,,,,,
3267493,ASASSN-V J001654.00+581852.8,422168317106549760,403255488,4.22415752859031,58.31360883959681,5.209489004381322,5.296093831893877,99,spots,True,17-18-24,13.007531,2.035533623453613,1.5278314999999996,1.1290717571657296,53.915742173809406,1101.64185,0.9655199584364892,0.7617952472063899,0.967450998353362,0.568691255519092,True,rg,99.9,False,,,,,,
55472487,ASASSN-V J120928.33-435810.0,6144569024718252544,258379678,182.3681388966024,-43.96947999451451,0.17400569667464774,,99,reflection,True,37,15.336974,3.9735476478135507,-0.19759700000000002,-0.4118075325265814,15.587181303102637,1551.81238,0.5186695702822793,0.4092302909527184,0.5197069094228439,0.3054963768962625,True,ms,99.9,False,,,,,,
J190145.14+725953.7,ASASSN-V J190145.14+725953.7,2267606637662018048,235677752,285.43809262240234,72.99826095716601,13.971882697309754,13.97192320551598,99,spots,False,,15.104956,3.2943678466372455,1.2490889999999997,1.1050924252817627,23.57215859984597,2028.14539,0.3486599872112274,0.2750927299096584,0.3493573071856499,0.2053607324674129,True,sg,99.9,False,,,,,,
36929842,ASASSN-V J050317.82-402746.9,4813921773401475456,13984363,75.82422333200891,-40.46309009555976,5.164000361351005,5.164841490394626,99,spots,False,,15.028332,3.80479890216832,1.206588,1.1795429080881992,27.7347357870136,1715.43066,0.0654844840479438,0.0516672579138276,0.0656154530160397,0.0385703611042389,True,sg,99.9,False,,,,,,
14534183,ASASSN-V J181210.30+413037.0,2112732144193113216,76090835,273.0428034382621,41.51025114139848,5.6665013179454125,5.6662101981594954,99,spots,False,,14.953905,3.4832483637344884,1.3057090000000002,1.2060190642914328,25.906465143480595,1803.19031,0.2413799896091222,0.1904488118015974,0.2418627495883405,0.142172813879773,True,sg,99.9,False,,,,,,
36412532,ASASSN-V J011011.30-732412.1,4687138015328580736,402101941,17.54695944676301,-73.40342101348446,15.081227974147145,,99,other,False,,14.8312845,-2.360696703034109,-0.03704999999999892,-0.11724093517654852,-1.632531308209837,25571.5293,0.1941669132604106,0.153197694562464,0.1945552470869314,0.1143643119103818,False,,99.9,False,,,,,,
16119267,ASASSN-V J224052.71+771034.2,2282220109268638848,367097589,340.2240165283581,77.17646231721136,3.1076476396525683,3.1084203643426784,99,spots,False,,14.77952,3.124130034254852,1.352869,1.1424124626408816,30.925596550213157,1781.00964,0.5095799936056137,0.4020586149548292,0.5105991535928249,0.3001426162337064,True,sg,30.1,False,,,,,,
2817437,ASASSN-V J001727.49+464722.3,392241431658520064,440096728,4.364506356953221,46.78949753691488,1.850155881983561,,99,spots,False,,14.76497,3.7540334409038953,1.2720699999999994,1.172380064291432,25.96471774626178,1459.14197,0.2413799896091222,0.1904488118015974,0.2418627495883405,0.142172813879773,True,sg,99.9,False,,,,,,
18249466,ASASSN-V J001032.26+383808.6,2880801592412343552,194352551,2.6347810921336188,38.63554324319836,16.031114780889432,16.090628873631726,99,spots,False,,14.730848,3.0492030103786214,1.244447000000001,1.100450425281764,20.1484859208579,1911.21899,0.3486599872112274,0.2750927299096584,0.3493573071856499,0.2053607324674129,True,sg,99.9,False,,,,,,
33725311,ASASSN-V J165716.56+031156.4,4385363751855362048,283109591,254.31898347141308,3.1990868722519323,4.906377414797392,,99,reflection,False,,14.710716,3.10785767966927,1.4170105,1.2840905829709917,16.39984559984347,1861.16687,0.3218399928063154,0.2539317543241828,0.3224836727919281,0.1895637557629197,True,rg,35.2,False,,,,,,
